Spot,date,time,range,height,swell_dir,swell_angle,period,wind_kmh,wind_dir,wind,wind_angle,temp,Conditions
Nazare,27/01,6am,8-13ft,5.5ft,WNW,293,13s,26,SSE,Offshore,160,10°c,Good
Nazare,27/01,12pm,9-14ft,6ft,WNW,298,12s,25,SW,Cross/Onshore,230,13°c,Good
Nazare,27/01,6pm,10-16ft,7.5ft,WNW,288,12s,23,SW,Onshore,231,13°c,Good
Nazare,28/01,6am,14-22ft,10ft,WNW,301,16s,18,SW,Cross/Onshore,221,13°c,Good
Nazare,28/01,12pm,16-24ft,11.5ft,NW,304,15s,18,WSW,Onshore,243,16°c,Good
Nazare,28/01,6pm,16-24ft,12ft,NW,306,15s,10,SSW,Cross-shore,209,12°c,Good
Nazare,29/01,6am,16-26ft,12ft,NW,307,15s,15,S,Offshore,172,12°c,Good
Nazare,29/01,12pm,16-24ft,11ft,NW,307,16s,14,S,Cross/Offshore,183,15°c,Good
Nazare,29/01,6pm,14-22ft,10ft,NW,304,15s,14,S,Offshore,176,12°c,Good
Nazare,30/01,6am,10-16ft,6.5ft,NW,313,14s,15,SSE,Offshore,149,11°c,Good
Nazare,30/01,12pm,9-14ft,7ft,W,270,11s,20,S,Offshore,179,14°c,Good
Nazare,30/01,6pm,9-14ft,7ft,W,267,11s,21,SSW,Cross/Offshore,194,13°c,Good
Nazare,31/01,6am,7-11ft,5.5ft,W,264,10s,13,SSE,Offshore,164,14°c,Good
Nazare,31/01,12pm,6-9ft,4.5ft,W,262,10s,15,SSW,Cross/Onshore,211,16°c,Good
Nazare,31/01,6pm,6-9ft,5ft,WSW,255,10s,24,SW,Cross/Onshore,222,15°c,Good
Nazare,01/02,6am,7-11ft,5.5ft,W,269,9s,10,S,Cross/Offshore,183,14°c,Good
Nazare,01/02,12pm,10-16ft,5.5ft,WNW,284,17s,9,SSW,Cross-shore,201,16°c,Good
Nazare,01/02,6pm,12-20ft,8.5ft,WNW,282,15s,3,S,Offshore,177,15°c,Good
Nazare,02/02,6am,10-16ft,6.5ft,WNW,282,13s,10,SE,Offshore,128,12°c,Good
Nazare,02/02,12pm,9-14ft,6ft,WNW,282,12s,14,SE,Offshore,134,17°c,Good
Nazare,02/02,6pm,9-14ft,6.5ft,WNW,283,12s,5,ESE,Offshore,113,15°c,Good
Nazare,03/02,6am,14-22ft,9ft,W,278,15s,23,ESE,Offshore,122,13°c,Good
Nazare,03/02,12pm,14-20ft,9ft,W,280,15s,13,SE,Offshore,136,18°c,Good
Nazare,03/02,6pm,12-18ft,8.5ft,W,279,14s,2,SE,Offshore,146,15°c,Good
Nazare,04/02,6am,10-16ft,7ft,W,281,13s,3,SE,Offshore,133,10°c,Good
Nazare,04/02,12pm,9-14ft,6.5ft,W,281,12s,2,NW,Onshore,311,19°c,Good
Nazare,04/02,6pm,9-14ft,6ft,WNW,283,12s,8,N,Cross/Onshore,8,12°c,Good
Nazare,05/02,6am,6-10ft,4ft,W,277,11s,5,ESE,Offshore,105,10°c,Good
Nazare,05/02,12pm,5-8ft,3.5ft,NNW,330,11s,22,ESE,Offshore,114,17°c,Good
Nazare,05/02,6pm,6-10ft,4ft,NNW,331,13s,22,ESE,Offshore,119,14°c,Good
Nazare,06/02,6am,6-9ft,3ft,W,275,16s,20,ESE,Offshore,118,9°c,Good
Nazare,06/02,12pm,7-10ft,3.5ft,W,276,15s,21,SE,Offshore,135,15°c,Good
