Spot,date,time,range,height_ft,swell_dir,swell_angle,period_sec,wind_kmh,wind_dir,wind,wind_angle,temp_°c,Conditions,Location,Longitud,Latitude
Mosca Point,03/01,6pm,2-3ft,2.5,ESE,104,5,10,ESE,Onshore,107,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,04/01,6am,2-3ft,2.5,E,87,5,11,ESE,Onshore,110,11,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,04/01,12pm,2-3ft,3.0,E,85,5,11,E,Onshore,96,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,04/01,6pm,1-2ft,1.9,ESE,102,5,7,E,Onshore,81,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,05/01,6am,1-2ft,2.0,NE,47,5,11,NNE,Onshore,33,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,05/01,12pm,1-2ft,2.0,NE,44,5,11,NE,Onshore,39,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,05/01,6pm,1-2ft,1.9,NE,42,5,10,NNE,Onshore,32,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,06/01,6am,1ft,1.9,NNE,33,5,15,N,Cross/Onshore,10,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,06/01,12pm,1ft,2.0,NNE,27,5,16,NNE,Cross/Onshore,14,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,06/01,6pm,1ft,2.5,NNE,19,5,16,N,Cross/Offshore,351,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,07/01,6am,1-2ft,3.0,NNE,13,6,14,NE,Onshore,54,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
